year,month,day,hour,monthdayhour,DegreeF,DegreeC
2014,1,8,0,010800,1.4,-17
2014,1,8,1,010801,1.4,-17
2014,1,8,2,010802,1.4,-17
2014,1,8,3,010803,1.4,-17
2014,1,8,4,010804,3.2,-16
2014,1,8,5,010805,3.2,-16
2014,1,8,6,010806,5,-15
2014,1,8,7,010807,5,-15
2014,1,8,7,010807,5,-15
2014,1,8,8,010808,5,-15
2014,1,8,9,010809,6.8,-14
2014,1,8,9,010809,8.6,-13
2014,1,8,10,010810,8.6,-13
2014,1,8,11,010811,10.4,-12
2014,1,8,12,010812,14,-10
2014,1,8,13,010813,14,-10
2014,1,8,14,010814,14,-10
2014,1,8,15,010815,14,-10
2014,1,8,16,010816,15.8,-9
2014,1,8,17,010817,15.8,-9
2014,1,8,18,010818,15.8,-9
2014,1,8,19,010819,15.8,-9
2014,1,8,20,010820,14,-10
2014,1,8,21,010821,12.2,-11
2014,1,8,22,010822,12.2,-11
2014,1,8,23,010823,12.2,-11
2014,1,9,0,010900,10.4,-12
2014,1,9,1,010901,10.4,-12
2014,1,9,2,010902,8.6,-13
2014,1,9,3,010903,8.6,-13
2014,1,9,4,010904,8.6,-13
2014,1,9,5,010905,5,-15
2014,1,9,6,010906,6.8,-14
2014,1,9,7,010907,6.8,-14
2014,1,9,8,010908,6.8,-14
2014,1,9,9,010909,6.8,-14
2014,1,9,10,010910,12.2,-11
2014,1,9,11,010911,15.8,-9
2014,1,9,12,010912,17.6,-8
2014,1,9,13,010913,19.4,-7
2014,1,9,14,010914,19.4,-7
2014,1,9,15,010915,21.2,-6
2014,1,9,16,010916,19.4,-7
2014,1,9,17,010917,17.6,-8
2014,1,9,18,010918,17.6,-8
2014,1,9,19,010919,17.6,-8
2014,1,9,20,010920,17.6,-8
2014,1,9,21,010921,15.8,-9
2014,1,9,22,010922,15.8,-9
2014,1,9,23,010923,17.6,-8
2014,1,10,0,011000,17.6,-8
2014,1,10,0,011000,17.6,-8
2014,1,10,1,011001,17.6,-8
2014,1,10,2,011002,17.6,-8
2014,1,10,3,011003,17.6,-8
